NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,English_Name 英语人物姓名,VIAF,YOB 出生年份,YOD 逝世年份,Dialect_Group 方言群,Hometown_in_Details 细致祖籍地,Search_by_Place_of_Birth 出生地检索,NLB_Link NLB链接
46,Related,蒋骥甫,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
47,Related,赖琼瑶,Nil,,Nil,Nil,闽/Hokkien,"福建省安海镇/Anhai Town, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
48,Related,庄希泉,Nil,,Nil,Nil,闽/Hokkien,"福建省安溪县/Anxi County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
49,Related,林庆年,Nil,,Nil,Nil,闽/Hokkien,"福建省安溪县/Anxi County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
50,Focused,胡少炎,Oh Siow Yam,,Nil,1983,闽/Hokkien,"福建省惠安县/Hui'an County, Fujian Province",金门/Kinmen,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/uUieZpgI_WU&label=Oh,%20Siow%20Yam"
51,Focused,林惠祥,Lin Huixiang,,1901,1958,闽/Hokkien,"福建省晋江县/Jinjiang County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/4NOx4_83nTI&label=Lin,%20Huixiang"
52,Focused,陈维龙,Tan Ee Leong,,1897,1988,闽/Hokkien,"福建省永春县/Yongchun County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/je-uuRsdkpY&label=Tan,%20Ee%20Leong"
53,Focused,林邦彦,Lim Pang Gan,,1894,1986,闽/Hokkien,"福建省永春县/Yongchun County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/rXkyKH5c2qg&label=Lim,%20Pang%20Gan"
54,Related,史联对,Nil,,Nil,Nil,闽/Hokkien,"福建省泉州市/Quanzhou City, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
55,Focused,陈育崧,Tan Yeok Seong,,1900,1984,闽/Hokkien,"福建省海澄县/Haicheng County, Fujian Province",槟城/Penang,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/6MxHsJqxrKY&label=Tan,%20Yeok%20Seong"
