NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,English_Name 英语人物姓名,VIAF,YOB 出生年份,YOD 逝世年份,Dialect_Group 方言群,Hometown_in_Details 细致祖籍地,Search_by_Place_of_Birth 出生地检索,NLB_Link NLB链接
187,Related,王财福,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
188,Focused,王德霖,Ong Teck Lim,,1896,1911,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/25gMxS7TIRg&label=Ong,%20Teck%20Lim"
189,Focused,王鼎昌,Ong Teng Cheong,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/EkZE0xLS6lc&label=Ong,%20Teng%20Cheong"
190,Focused,王九河,Ong Kew Ho,,Nil,1889,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/k_acu--qisA&label=Ong,%20Kew%20Ho"
191,Focused,王平福,Ong Peng Hock,,1889,1968,闽/Hokkien,福建/Fujian,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/5EAU0jbpKNc&label=Ong,%20Peng%20Hock"
192,Focused,王三龙,Ong Sam Leong,,1857,1918,闽/Hokkien,福建/Fujian,新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/hjzMM4RO5ZE&label=Ong,%20Sam%20Leong"
193,Focused,王绍经,Wee Cheow Keng,,1860,1939,琼/Hainan,"广东省琼海县（今属海南省）/Qionghai County, Guangdong Province (Now at Hainan Province)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/YgegZP325D8&label=Wee,%20Cheow%20Keng"
194,Focused,王文达,Ong Boon Tat,,1888,1941,闽/Hokkien,福建/Fujian,新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/mKrJlGHWHTg&label=Ong,%20Boon%20Tat"
195,Focused,王有海,Ong Ewe Hai,,1830,1889,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/S4ITdrXjU8I&label=Ong,%20Ewe%20Hai"
196,Focused,吴鸿业,Goh Hong Giap,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Cns06Ht34Gs&label=Goh,%20Hong%20Giap"
197,Focused,吴来喜,Goh Lai Hee,,1881,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/zpOfjTZd5mg&label=Goh,%20Lai%20Hee"
198,Focused,吴庆瑞,Goh Keng Swee,,1918,2010,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/N0mCU8qHsjg&label=Goh,%20Keng%20Swee"
199,Focused,吴胜鹏,Ng Sing Phang,,1873,1951,粤/Canton,"广东省恩平县/Enping County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/OSiEKrFaQFw&label=Ng,%20Sing%20Phang"
200,Focused,吴水阁,Goh Tjoei Kok,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/X0vnhSWtG5w&label=Goh,%20Tjoei%20Kok"
201,Focused,吴秀水,Goh Siew Swee,,Nil,1892,闽/Hokkien,"福建省绍安县/Shao'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/ZrMKzIw8X0c&label=Goh,%20Siew%20Swee"
202,Focused,吴在炎,Wu Tsai Yen,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/x0pM6O_P1e4&label=Wu,%20Tsai%20Yen"
203,Focused,萧保龄,Seow Poh Leng,,1883,Nil,闽/Hokkien,"福建省晋江县/Jinjiang County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/JwFt38Ed8ig&label=Seow,%20Poh%20Leng"
204,Focused,谢安祥,Chia Ann Siang,,1832,1982,闽/Hokkien,福建/Fujian,马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/concrLEKj4A&label=Chia,%20Ann%20Siang"
205,Focused,谢荣西,Chia Eng Say,,1881,1942,闽/Hokkien,"福建省惠安县/Hui'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/bIXjT8EMgyo&label=Chia,%20Eng%20Say"
206,Focused,徐长怀,Chee Teang Why,,Nil,1861,闽/Hokkien,福建/Fujian,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/3ESYC_VsZVM&label=Chee,%20Teang%20Why"
207,Focused,许宏博,Koh Heng Pok,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/WTwb9vMQtMQ&label=Koh,%20Heng%20Pok"
208,Focused,许甦吾,Koh Soh Goh,,1908,1988,闽/Hokkien,"福建省惠安县/Hui'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/r6PEJAq3aRM&label=Koh,%20Soh%20Goh"
209,Focused,许云樵,Hsu Yun Tsiao,,1905,1981,三江/Sam Kiang,"江苏省无锡市/Wuxi City, Jiangsu Province",吴县/Wuxian,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/wPkOcKvUWcA&label=Hsu,%20Yun%20Tsiao"
210,Focused,薛佛记,See Hoot Kee,,1793,1847,闽/Hokkien,"福建省东山县/Dongshan County, Fujian Province",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/sUNprTorw4s&label=See,%20Hoot%20Kee"
211,Focused,薛茂元,See Moh Guan,,Nil,1879,闽/Hokkien,"福建省东山县/Dongshan County, Fujian Province",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/B-er7RjcUMs&label=See,%20Moh%20Guan"
212,Focused,薛荣樾,See Eng Wat,,1826,1884,闽/Hokkien,"福建省东山县/Dongshan County, Fujian Province",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/fFl7cS_W0vk&label=See,%20Eng%20Wat"
213,Focused,薛文仲,See Boon Tiong,,Nil,1888,闽/Hokkien,"福建省漳州/Zhangzhou, Fujian Province",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/YVdXVXBKc4M&label=See,%20Boon%20Tiong"
214,Focused,薛有礼,See You Lay,,1851,1906,闽/Hokkien,"福建省东山县/Dongshan County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/AqqyWax3D6k&label=See,%20Ewe%20Lay"
215,Focused,颜永成,Gan Eng Seng,,1844,1899,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/JPa4nkk1s38&label=Gan,%20Eng%20Seng"
216,Focused,杨瑞初,Yang Shui Chor,,1909,1984,粤/Canton,"祖先移居广东省番禺县而成番禺人/Ancestors moved to Panyu County, Panyu County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/fyVCj2EzttA&label=Yang,%20Shui%20Chor"
217,Focused,杨天恩,Yeo Thian In,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/N73KrRAr9WA&label=Yeo,%20Thian%20In"
218,Focused,姚紫,Yao Zi,,1920,1982,闽/Hokkien,"福建省泉州市/Quanzhou City, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/DS0kNoIAtTs&label=Yao,%20Zi"
219,Focused,叶畅芬,Yip Cheong Fun,,1903,1989,粤/Canton,"广东省东莞县（生于香港）/Dongguan County, Guangdong Province (born in Hong Kong)",香港/Hong Kong,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Qt_MaGzYoSU&label=Yip,%20Cheong%20Fun"
220,Focused,叶季允,Yeh Chi-Yun,,1859,1921,三江/Sam Kiang,安徽/Anhui,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/3QmImkl4F1s&label=Yeh,%20Chi-Yun"
221,Focused,叶平玉,Yap Pheng Geck,,1901,1979,潮/Teochew,"广东省普宁县/Puning County, Guangdong Province",和平港/Kangkar Kambau,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/_frT919lOKQ&label=Yap,%20Pheng%20Geck"
222,Focused,叶之威,Yeh Chi Wei,,1913,1981,闽/Hokkien,福建省福州市/Fuzhou city of Fujian,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/7i5_3gVvf34&label=Yeh,%20Chi%20Wei"
223,Focused,殷碧霞,Yin Grace Peck Ha,,1884,1972,三江/Sam Kiang,"江苏省常熟县（今为常熟市）/Changshu County, Jiangsu Province (Now at Changshu City)",鼓浪屿/Kulangsu,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/gaPLTIE0xyQ&label=Yin,%20Grace%20Peck%20Ha"
224,Focused,殷雪村,Yin Suat Chuan,,1876,1958,三江/Sam Kiang,"江苏省常熟县（今为常熟市）/Changshu County, Jiangsu Province (Now at Changshu City)",鼓浪屿/Kulangsu,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/hAGjIPOUS7I&label=Yin,%20Suat%20Chuan"
225,Focused,余东璇,Eu Tong Sen,,1877,1941,粤/Canton,广东/Guangdong,槟榔屿/Penang Island,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/3yBS-5M7GPE&label=Eu,%20Tong%20Sen"
226,Focused,云英杰,Wan Eng Kiat,,1834,1919,暂无/Nil,马六甲（1951从马六甲到新加坡）/Malacca (1951 from Malacca to Singapore),暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Yn2p1Wr_WtE&label=Wan,%20Eng%20Kiat"
227,Focused,曾锦文,Chan Kim Boon,,1851,1920,闽/Hokkien,福建/Fujian,槟城/Penang,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Qmv8BTilf2w&label=Chan,%20Kim%20Boon"
228,Focused,章芳琳,Cheang Hong Lim,,1841,1893,闽/Hokkien,"福建省海澄县/Haicheng County, Fujian Province",新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/6nfUeQa0YYE&label=Cheang,%20Hong%20Lim"
229,Focused,张汉三,Teo Han Sam,,1897,1965,潮/Teochew,"广东省潮阳县/Chaoyang County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Vn216iwaAkk&label=Teo,%20Han%20Sam"
230,Focused,张礼千,Chang Lee Chien,,1897,1954,三江/Sam Kiang,"江苏省南汇县/Nanhui County, Jiangsu Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/J_Q_XVK5H_o&label=Chang,%20Lee%20Chien"
231,Focused,张梦生,Chong Moong Seng,,1899,1977,客/Hakka,"广东省大埔县/Dapu County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/bcFZkZuuJs8&label=Chong,%20Moong%20Seng"
232,Focused,张汝器,Tchang Ju Chi,,1904,1942,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/qj1Nh0_k2Zc&label=Tchang,%20Ju%20Chi"
233,Focused,赵玉山,Chao Yoke San,,Nil,Nil,琼/Hainan,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/OWbyDNpAXCw&label=Chao,%20Yoke%20San"
234,Focused,郑古悦,Tay Koh Yat,,1880,1957,闽/Hokkien,"福建省金门县/Jinmen County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Nsqb8zhJY5M&label=Tay,%20Koh%20Yat"
235,Focused,郑章远,Teh Cheang Wan,,1928,1986,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/y2IJwPWV1Ss&label=Teh,%20Cheang%20Wan"
236,Focused,周如切,Chew Joo Chiat,,Nil,1926,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/jOnrxKJfyQY&label=Chew,%20Joo%20Chiat"
237,Focused,周润亨,Chew Joon Hiang,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/NNFTlvZhmOs&label=Chew,%20Joon%20Hiang"
238,Focused,周文礼,Chew Boon Lay,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/HQgZbUpxZGE&label=Chew,%20Boon%20Lay"
239,Focused,周星衢,Chou Sing Chu,,1905,1986,三江/Sam Kiang,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Qvwraf4VnSY&label=Chou,%20Sing%20Chu"
240,Focused,周镇豪,Chew Teng How,,1913,1980,潮/Teochew,"广东省澄海县/Chenghai County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/6LtF1UEL7a8&label=Chew,%20Teng%20How"
241,Focused,周子敬,Chew Choo Keng,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/1sDFktCj9PE&label=Chew,%20Choo%20Keng"
242,Focused,庄庆利,Ching Keng Lee,,1859,1934,闽/Hokkien,福建/Fujian,马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/74jyIT6Dwog&label=Ching,%20Keng%20Lee"
243,Focused,庄竹林,Chuang Chu Lin,,1900,1973,闽/Hokkien,"福建省惠安县/Hui'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/37myEEeDeDA&label=Chuang,%20Chu%20Lin"
244,Focused,左秉隆,Tso Ping Lung,,1850,1924,三江/Sam Kiang,"辽宁省沈阳市（民国后归籍广东省番禺县）/Shenyang City, Liaoning Province (after the Republic of China, returned to Panyu County, Guangdong Province)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/ctK6CPyALkk&label=Tso,%20Ping%20Lung"
245,Focused,佘松城,Seah Song Seah,,Nil,1910,潮/Teochew,"广东省澄海县/Chenghai County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/TukWWiDmyLY&label=Seah,%20Song%20Seah"
246,Related,林长华,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
247,Related,谢佛添,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
248,Related,李天来,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
249,Related,蔡开云,Nil,,Nil,Nil,闽/Hokkien,福建/Fujian,马六甲/Melaka,http://shgis.nus.edu.sg/sbdb/unavailable.html
250,Related,蔡润贤,Nil,,Nil,Nil,闽/Hokkien,福建/Fujian,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
251,Related,梁亚胜,Nil,,Nil,Nil,粤/Canton,"广东省中山县/Zhongshan County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
252,Related,莱佛士,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
253,Related,曹家馆当事人,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
254,Related,陈景华,Nil,,Nil,Nil,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
255,Related,阮文发,Nil,,Nil,Nil,暂无/Nil,马六甲/Malacca,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
256,Related,李清池,Nil,,Nil,Nil,暂无/Nil,马六甲/Malacca,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
257,Related,陈亚汉,Nil,,Nil,Nil,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
258,Related,陈纯道,Nil,,Nil,Nil,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
259,Related,蔡春茂,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
260,Related,陈景瑞,Nil,,Nil,Nil,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
261,Related,张礼,Nil,,1834,1900,潮/Teochew,"广东省饶平县/Raoping County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
262,Related,郭爱文,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
263,Related,蔡茂春,Nil,,1819,1879,潮/Teochew,"广东省潮阳县/Chaoyang County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
264,Related,沈联芳,Nil,,1850,1921,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
265,Related,陈连水,Nil,,Nil,Nil,闽/Hokkien,"福建省金门县/Jinmen County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
266,Related,陈成章,Nil,,Nil,Nil,闽/Hokkien,"福建省金门县/Jinmen County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
267,Related,陈连南,Nil,,Nil,Nil,闽/Hokkien,"福建省金门县/Jinmen County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
268,Related,康有为,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
269,Related,梁启超,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
270,Related,吴世荣,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
271,Related,留鸿石,Nil,,Nil,Nil,闽/Hokkien,福建/Fujian,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
272,Related,叶敦仁,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
273,Related,谢有祥,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
274,Related,洪福彰,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
275,Related,王锦威,Nil,,Nil,Nil,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
276,Related,许山兴,Nil,,Nil,Nil,闽/Hokkien,福建/Fujian,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
277,Related,陈霞娘,Nil,,Nil,Nil,闽/Hokkien,"福建省海澄县/Haicheng County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
278,Related,杨佛生,Nil,,Nil,Nil,闽/Hokkien,福建/Fujian,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
279,Related,陈有郎,Nil,,Nil,Nil,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
280,Related,陈季騧,Nil,,Nil,Nil,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
281,Related,陈季随,Nil,,Nil,Nil,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
282,Related,陈瑞林,Nil,,Nil,Nil,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
283,Related,陈德源,Nil,,Nil,Nil,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
284,Related,陈维贤,Nil,,Nil,Nil,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
285,Related,张炎,Nil,,Nil,Nil,闽/Hokkien,"福建省晋江县/Jinjiang County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
286,Related,林生财,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
287,Related,黄木生,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
288,Related,黄文德,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
289,Related,黄金炎,Nil,,1855,1914,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
290,Related,黄秉盛,Nil,,1905,1952,粤/Canton,"广东省台山县/Taishan County, Guangdong Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
291,Related,陈六娘,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
292,Related,陈宝莉,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
293,Related,符气浩,Nil,,Nil,Nil,琼/Hainan,"广东省文昌县（今属海南省）/Wenchang County, Guangdong Province (Now at Hainan Province)",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
294,Related,曾举荐,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
295,Related,谢佛珊,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
296,Related,陈丰明,Nil,,Nil,Nil,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
297,Related,詹振成,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
298,Related,刘清泉,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
