NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,﻿person ID,chinese name,hanyupinyin_ corrected,year of birth,year of death,出生地 (1st column is self-designated without referencing sources),,,birth - province,birth - level2,birth - level 3,birth - level 4,birth - level 5
161,Focused,林忠邦,C00163,林忠邦,lin zhong bang,1904,1956,新加坡,,,广东,澄海,,,
162,Focused,刘金榜,C00734,刘金榜,liu jin bang,1838,1909,中国,福建,南靖,福建,南靖,,,
163,Focused,刘抗
164,Focused,刘仁心
165,Focused,陆寅杰,C00761,陆寅杰,lu yin jie,1849,1931,,,,广东,广州,,,
166,Focused,陆佑,C00762,陆佑,lu you,1846,1917,,,,广东,鹤山,,,
167,Focused,陆运涛,C00763,陆运涛,lu yun tao,1913,1964,马来西亚,吉隆坡,,广东,鹤山,,,
168,Related,莫履瑞,C00781,莫履瑞,mo lv rui,1914,1977,,,,广东,琼海,,,
169,Focused,欧阳奇,C00783,欧阳奇,ou yang qi,1897,1988,中国,,,广东,澄海,,,
170,Focused,潘受
171,Focused,潘醒农,C00787,潘醒农,pan xing nong,1904,1987,中国,,,广东,潮安,,,
172,Focused,邱德拔
173,Focused,邱菽园,C00801,邱菽园,qiu shu yuan,1874,1941,,,,福建,海澄,,,
174,Focused,邱新民
175,Focused,邱正忠,C00806,邱正忠,qiu zheng zhong,1820,1896,,,,福建,海澄,,,
176,Focused,邱雁宾,C00804,邱雁宾,qiu yan bing,1863,1923,新加坡,,,广东,南顺,,,
177,Focused,邵仁枚,C00830,邵仁枚,shao ren mei,1901,1984,中国,,,浙江,镇海,,,
178,Focused,佘连城,C00043,佘连城,she lian cheng,1850,1925,,,,广东,澄海,,,
179,Focused,佘有进,C00044,佘有进,she you jin,1805,1883,中国,,,广东,澄海,,,
180,Focused,施香沱,C00836,施香沱,shi xiang tuo,1906,1990,中国,福建,龙溪,福建,龙溪,,,
181,Focused,宋佛俭
182,Focused,宋旺相,C00045,宋旺相,song wang xiang,1871,1941,新加坡,,,福建,南靖,,,
183,Focused,宋旺裕,C00843,宋旺裕,song wang yu,1877,1962,,,,福建,南靖,,,
184,Focused,孙炳炎,C03491,孙炳炎,sun bing yan ,,,,,,,,,,
185,Focused,孙崇瑜,C01255,孙崇瑜,sun chong yu ,,,,,,福建,闽侯,,,
186,Focused,王邦杰,C00179,王邦杰,wang bang jie,1856,1930,中国,,,广东,潮安,,,
187,Related,王财福
188,Focused,王德霖,C00874,王德霖,wang de lin,1896,1912,,,,福建,南安,,,
189,Focused,王鼎昌
190,Focused,王九河,C00882,王九河,wang jiu he,?,1889,马来西亚,马六甲,,福建,南安,,,
191,Focused,王平福,C00884,王平福,wang ping fu,?,1968,,,,福建,,,,
192,Focused,王三龙,C00888,王三龙,wang san long,1857,1918,新加坡,,,福建,,,,
193,Focused,王绍经,C00185,王绍经,wang shao jing,1860,1939,,,,广东,琼海,,,
194,Focused,王文达,C00046,王文达,wang wen da,1888,1937,新加坡,,,福建,,,,
195,Focused,王有海,C00899,王有海,wang you hai,1830,1889,新加坡,,,福建,同安,,,
196,Focused,吴鸿业
197,Focused,吴来喜,C00922,吴来喜,wu lai xi,1881,? ,,,,,,,,
198,Focused,吴庆瑞,C00019,吴庆瑞,wu qing rui ,1918,2010,马来西亚 ,马六甲,,福建省 ,漳州,,,
