objectid,noname,pinyin,simplified_chinese,tarditional_chinese,official_name,address,postal_code,new_address,x,y,long,lat,foundingdate,phone,maingods,origin,origindetail,foundinglocation,website,united,subtemples,photos
672,1043.000000000000000,Yishan Tang,,,Eit San Tong Temple,582 Lorong 3 Geylang 388992,388992,582 LORONG 3 GEYLANG,32480.724061580000000,33348.264466059998000,103.873580180000000,1.317864050000000,,,,NA,NA,,,0,NA,NA
421,646.000000000000000,Puzhao Miao ,普照庙,普照廟,,44 Lorong 25A Geylang 388244,388244,44 LORONG 25A GEYLANG,33559.617502929999000,33013.437396870002000,103.883274529999990,1.314835820000000,,,,NA,NA,,,0,NA,NA
48,91.000000000000000,Chongxing Zumiao ,重兴祖庙,重興祖廟,Tioh Hin Cho Temple,121A Langsat Road 426774,426774,121A LANGSAT ROAD,35984.375236070002000,33148.884717120003000,103.905062220000000,1.316060220000000,1961,,张公圣君,福建省,福建省 莆田市 涵江区 梧塘镇 漏头村,,,0,NA,NA
173,262.000000000000000,Gaolin Gong  Ounan Shan,檺林宫  欧南山,檺林宮  歐南山,Outram Hill Ho Lim Keng Temple,20 Outram Hil 169115,169115,20 OUTRAM HILL,28346.321794690000000,29631.497326260000000,103.836430420000000,1.284251240000000,,,"朱邢李三王府大人, 许真人",福建省,福建省 南安市 玉湖村,,,0,NA,NA
385,585.000000000000000,Nanlai Dian,南莱殿,南萊殿,Nanlai Dian,Blk 119 Chua Chu Kang Road #07-782 680119,680119,119 TECK WHYE LANE,18772.135035290001000,40132.325058989998000,103.750399419999990,1.379215560000000,,,,NA,NA,,,0,NA,NA
576,887.000000000000000,Tongxing Gang Chaoren,通兴港  潮人,通興港  潮人,Tongxing Gang,177Q Lorong 7 Toa Payoh 319318,319318,177L LORONG 7 TOA PAYOH,30577.169475960000000,35642.104694590002000,103.856475960000000,1.338608950000000,1864,6356 3116,感天大帝,广东省,广东省 潮州市,Ah Hood Road,,1,"大巴窑五合廟 

1. 大巴窑五合廟
2. 通興港亞佛律甘榜神會  
3. 聚天宮（飛天宮/潮閩人）
4. 山竹圓福德祠（粵人）
5. 昭應祠（瓊人）
6 華德善堂（合租昭應祠）
7. 李娘娘無極宮（瓊，退出）
   聚天宮接收，用為太歲殿）",NA
68,123.000000000000000,Cizhenggong Shiniudong,赐正宫石牛洞,賜正宮石牛洞,Sze Cheng Keng Shi Niu Dong,16 Ubi Road 4  #02-01 408624,408624,16 UBI ROAD 4,35357.340688850003000,34983.527972340002000,103.899428439999990,1.332652230000000,,,,NA,NA,,,1,"賜正宮石牛洞（聯合宮）

1. 賜正宮石牛洞（聯合宮）
2. 賜正宮
3. 石牛洞",NA
88,147.000000000000000,Danbinni Jiuli Dabogong Miao,淡滨尼九哩大伯公  ,淡濱尼九哩大伯公  ,Danbinni Jiuli Dabogong Miao,25 Tampines Street 21 529394,529394,25 TAMPINES STREET 21,40970.458997380003000,37545.692151249998000,103.949866529999990,1.355821600000000,,67830655,大伯公,福建省,福建省,,,1,"淡濱尼聯合宮

1. 淡濱尼聯合宮
2. 地萬大伯公
3. 福安殿
4. 慈靈宮
5. 九哩大伯公 aka 九哩福德正神
6. 濟陽堂
7. 吉星亭
8. 洛陽天宮壇
9 後池廳aka普庵古佛
10. 順興古廟
11. 新芭大伯公
12. 洛陽大伯公
13. 漢陽大伯公",NA
70,125.000000000000000,Congmaoyuan Jiuhuanggong,葱茅园九皇宫,葱茅园九皇宫,Charn Mao Hern Kew Huang Keng,28 Arumugam Road 409965,409965,28 ARUMUGAM ROAD,34548.386902849998000,34220.727685680002000,103.892159370000000,1.325753920000000,1943,6746 5290,九皇大帝,福建省,福建省,Paya Lebar Airport Rd / Geylang Serai ,,1,"眾弘善堂九皇宮（聯合宮）

1. 眾弘善堂九皇宮（聯合宮）
2. 眾弘善堂
3. 蔥茅園九皇宮",NA
64,117.000000000000000,CiyiTang,慈义堂,慈義堂,Chee Ghee Deang,"3302 Clementi Service Rd / 
3302 Commonwealth Avenue West 129582",129582,3302 COMMONWEALTH AVENUE WEST,20027.296016970002000,33839.835015370001000,103.761679630000000,1.322308930000000,1984,"6777 0369
9620 7893*","黄老仙师, 齐天大圣, 太上老君",广东省,广东省 潮州市,Toh Tuck Road,,1,"慈義堂將軍廟（聯合廟）

1. 慈義堂將軍廟（聯合廟）
2. 慈義堂
3. 將軍廟",NA
